antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Aceite de oliva'}),frozenset({'Leche'}),0.11428571428571428,0.45714285714285713,0.05714285714285714,0.5,1.09375,1.0,0.004897959183673473,1.0857142857142859,0.09677419354838716,0.11111111111111112,0.07894736842105264,0.3125
frozenset({'Cebollas'}),frozenset({'Arroz'}),0.12857142857142856,0.08571428571428572,0.05714285714285714,0.4444444444444445,5.185185185185185,1.0,0.046122448979591835,1.6457142857142857,0.9262295081967212,0.36363636363636365,0.39236111111111116,0.5555555555555556
frozenset({'Arroz'}),frozenset({'Cebollas'}),0.08571428571428572,0.12857142857142856,0.05714285714285714,0.6666666666666666,5.185185185185185,1.0,0.046122448979591835,2.614285714285714,0.8828125,0.36363636363636365,0.6174863387978141,0.5555555555555556
frozenset({'Arroz'}),frozenset({'Leche'}),0.08571428571428572,0.45714285714285713,0.05714285714285714,0.6666666666666666,1.4583333333333333,1.0,0.017959183673469388,1.6285714285714286,0.34375000000000006,0.11764705882352942,0.3859649122807017,0.3958333333333333
frozenset({'Azúcar'}),frozenset({'Leche'}),0.14285714285714285,0.45714285714285713,0.05714285714285714,0.4,0.8750000000000001,1.0,-0.008163265306122443,0.9047619047619049,-0.14285714285714277,0.10526315789473685,-0.10526315789473677,0.2625
frozenset({'Café'}),frozenset({'Leche'}),0.14285714285714285,0.45714285714285713,0.07142857142857142,0.5,1.09375,1.0,0.006122448979591841,1.0857142857142859,0.10000000000000007,0.13513513513513511,0.07894736842105264,0.328125
frozenset({'Cebollas'}),frozenset({'Leche'}),0.12857142857142856,0.45714285714285713,0.07142857142857142,0.5555555555555556,1.215277777777778,1.0,0.012653061224489802,1.2214285714285718,0.20327868852459027,0.1388888888888889,0.18128654970760238,0.3559027777777778
frozenset({'Leche'}),frozenset({'Galletas'}),0.45714285714285713,0.21428571428571427,0.1,0.21875000000000003,1.0208333333333335,1.0,0.002040816326530623,1.0057142857142858,0.0375939849624062,0.17500000000000002,0.005681818181818232,0.3427083333333334
frozenset({'Galletas'}),frozenset({'Leche'}),0.21428571428571427,0.45714285714285713,0.1,0.46666666666666673,1.0208333333333335,1.0,0.002040816326530623,1.0178571428571432,0.02597402597402611,0.17500000000000002,0.01754385964912295,0.3427083333333334
frozenset({'Plátanos'}),frozenset({'Leche'}),0.12857142857142856,0.45714285714285713,0.07142857142857142,0.5555555555555556,1.215277777777778,1.0,0.012653061224489802,1.2214285714285718,0.20327868852459027,0.1388888888888889,0.18128654970760238,0.3559027777777778
frozenset({'Té'}),frozenset({'Leche'}),0.15714285714285714,0.45714285714285713,0.08571428571428572,0.5454545454545455,1.1931818181818183,1.0,0.013877551020408163,1.1942857142857146,0.19209039548022597,0.16216216216216217,0.1626794258373207,0.36647727272727276
frozenset({'Zanahorias'}),frozenset({'Leche'}),0.12857142857142856,0.45714285714285713,0.07142857142857142,0.5555555555555556,1.215277777777778,1.0,0.012653061224489802,1.2214285714285718,0.20327868852459027,0.1388888888888889,0.18128654970760238,0.3559027777777778
